Id,Test.Name,EvaluationOrder,Species.Name,LimitIsAbsolute,Limit,Severity,DayLimit,Eligible.Description,Comment.Mnemonic
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 15.0.3
%% Table: DeltaNorm
%% Exported on: 09/30/17 at 12:08:19
%% Exported by: SiemensService
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
7094,PARK,6,?,no,50,4,14,?,?
7095,WAITING,6,?,no,50,4,14,?,?
7136,X01,6,?,no,50,4,14,?,?
7137,X02,6,?,no,50,4,14,?,?
7138,HEMO,6,?,no,50,4,14,?,?
7139,ICTE,6,?,no,50,4,14,?,?
7140,LIPE,6,?,no,50,4,14,?,?
7141,Saline,6,?,no,50,4,14,?,?
7145,KeepAlive,6,?,no,50,4,14,?,?
8986,ALT,1,?,no,20,5,?,?,DS_Comment_ALT
8987,AST,1,?,no,20,5,?,?,DS_Comment_AST
8988,T4,1,?,no,20,5,?,?,DS_Comment_T4
8989,TP,1,?,no,10,5,?,?,DS_Comment_TP
8990,T3,1,?,no,25,5,?,?,DS_Comment_T3
8991,ALB,1,?,no,10,5,?,?,DS_Comment_ALB
8992,FT3,1,?,no,25,5,?,?,DS_Comment_FT3
8994,FT4,1,?,no,25,5,?,?,DS_Comment_FT4
8995,TBIL,1,?,no,20,5,?,?,DS_Comment_TBIL
8996,DBil,1,?,no,20,5,?,?,DS_Comment_DBIL
8997,TSH3UL,1,?,no,25,5,?,?,DS_Comment_TSH3UL
8998,TBA,1,?,no,10,5,?,?,DS_Comment_TBA
8999,CEA,1,?,no,25,5,?,?,DS_Comment_CEA
9000,K,1,?,yes,.5,5,?,?,DS_Comment_K
9001,AFP,1,?,no,25,5,?,?,DS_Comment_AFP
9002,Cl,1,?,no,5,5,?,?,DS_Comment_Cl
9003,CA199,1,?,no,25,5,?,?,DS_Comment_CA199
9004,CA153,1,?,no,25,5,?,?,DS_Comment_CA153
9005,Na,1,?,yes,4,5,?,?,DS_Comment_Na
9006,Ca,1,?,yes,.25,5,?,?,DS_Comment_Ca
9007,HCY,1,?,no,15,5,?,?,DS_Comment_HCY
9008,Mg,1,?,no,25,5,?,?,DS_Comment_Mg
9009,APOA1,1,?,no,30,5,?,?,DS_Comment_APOA1
9010,PHOS,1,?,no,10.7,5,?,?,DS_Comment_PHOS
9011,APOB,1,?,no,30,5,?,?,DS_Comment_APOB
9012,BUN,1,?,no,9,5,?,?,DS_Comment_BUN
9013,hs-CRP,1,?,no,30,5,?,?,DS_Comment_hsCRP
9014,Cr,1,?,no,15,5,?,?,DS_Comment_Cr
9015,ASO,1,?,no,25,5,?,?,DS_Comment_ASO
9016,UA,1,?,no,17,5,?,?,DS_Comment_UA
9017,RF,1,?,no,25,5,?,?,DS_Comment_RF
9018,GLU,1,?,no,10,5,?,?,DS_Comment_GLU
9019,ALP,1,?,no,30,5,?,?,DS_Comment_ALP
9020,PA,1,?,no,25,5,?,?,DS_Comment_PA
9021,ADA,1,?,no,20,5,?,?,DS_Comment_ADA
