Id,Test.Name,EvaluationOrder,Sex,Species.Name,MinAge,MaxAge,AgeUnit.Name,LowLimit,HighLimit,Severity,Method.Instrument.Name,Eligible.Description,Comment.Mnemonic
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 15.0.3
%% Table: Norm
%% Exported on: 09/26/17 at 12:07:05
%% Exported by: Advia
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
7899,ALT,5,Male,?,?,?,?,6,300,5,?,Eligible_ALT_NS,NS_Comment_ALT_M
7900,AST,5,Male,?,?,?,?,11,280,5,?,Eligible_AST_NS,NS_Comment_AST_M
7901,AST,5,Female,?,?,?,?,9,245,5,?,Eligible_AST_NS,NS_Comment_AST_F
7902,ALT,5,Female,?,?,?,?,5,240,5,?,Eligible_ALT_NS,NS_Comment_ALT_F
7903,GGT,5,Male,?,?,?,?,7,360,5,?,Eligible_GGT_NS,NS_Comment_GGT-M
7904,GGT,5,Female,?,?,?,?,5,270,5,?,Eligible_GGT_NS,NS_Comment_GGT-F
7905,5-NT,5,?,?,?,?,?,.1,66,5,?,Eligible_5-NT_NS_V2,NS_Comment_5NT
7906,ALP,5,Male,?,16,?,Year,20,400,5,?,Eligible_ALP_NS,NS_Comment_ALP-M
7907,ALP,5,Female,?,16,?,Year,20,540,5,?,Eligible_ALP_NS,NS_Comment_ALP-F
7908,LDH,5,?,?,?,?,?,76,490,5,?,Eligible_LDH_NS,NS_Comment_LDH
7909,ChE,5,?,?,?,?,?,2000,18000,5,?,Eligible_ChE_NS,NS_Comment_ChE
7910,CK,5,?,?,?,?,?,21,558,5,?,Eligible_CK_NS,NS_Comment_CK
7911,a-HBD,5,?,?,?,?,?,50,546,5,?,Eligible_a-HBD_NS,NS_Comment_a-HBD
7912,CK-MB,5,?,?,?,?,?,2,72,5,?,Eligible_CK-MB_NS,NS_Comment_CK-MB
7913,TP,5,?,?,?,?,?,46,89.3,5,?,Eligible_TP_NS,NS_Comment_TP
7914,Alb,5,?,?,?,?,?,25,57.8,5,?,Eligible_Alb_NS,NS_Comment_Alb
7915,TBil,5,?,?,?,?,?,2,142.8,5,?,Eligible_TBil_NS,NS_Comment_TBiL
7916,DBil,5,?,?,?,?,?,1,47.6,5,?,Eligible_DBil_NS,NS_Comment_DBIL
7917,BUN,5,?,?,?,?,?,2,16.4,5,?,Eligible_BUN_NS,NS_Comment_BUN
7918,CREA,5,?,?,?,?,?,25,424,5,?,Eligible_CREA_NS_Serum,NS_Comment_CREA_Serum
7919,Glu,5,?,?,?,?,?,3.12,12.2,5,?,Eligible_GLU_NS,NS_Comment_GLu
7920,UA,5,Male,?,?,?,?,125,856,5,?,Eligible_UA_NS,NS_Comment_UA-M
7921,UA,5,Female,?,?,?,?,93,714,5,?,Eligible_UA_NS,NS_Comment_UA-F
7922,CO2,5,?,?,?,?,?,16.1,37.7,5,?,Eligible_5CO2_NS,NS_Comment_CO2
7923,CHOL,5,?,?,?,?,?,2.32,11.36,5,?,Eligible_CHOL_NS,NS_Comment_CHOL
