Id,Test.Name,EvaluationOrder,Sex,Species.Name,MinAge,MaxAge,AgeUnit.Name,LowLimit,HighLimit,Severity,Method.Instrument.Name,Eligible.Description,Comment.Mnemonic
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 15.0.3
%% Table: Norm
%% Exported on: 09/30/17 at 12:08:19
%% Exported by: SiemensService
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
8896,ALT,1,Male,?,?,?,?,9,50,5,?,?,NS_Comment_ALT_M
8897,CEA,?,?,?,?,?,?,0,5,5,?,?,NS_Comment_CEA
8898,ALT,2,Female,?,?,?,?,7,40,5,?,?,NS_Comment_ALT_F
8899,AFP,?,?,?,?,?,?,0,8.1,5,?,?,NS_Comment_AFP
8900,AST,1,Male,?,?,?,?,15,40,5,?,?,NS_Comment_AST_M
8901,AST,2,Female,?,?,?,?,15,35,5,?,?,NS_Comment_AST_F
8902,CA199,?,?,?,?,?,?,0,37,5,?,?,NS_Comment_CA199
8903,CA153,?,?,?,?,?,?,0,31.3,5,?,?,NS_Comment_CA153
8904,TP,?,?,?,?,?,?,65,85,5,?,?,NS_Comment_TP
8905,TSH3UL,2,?,?,2.00001,12,Year,.64,6.27,5,?,?,NS_Comment_TSH3UL_02_12
8906,ALB,?,?,?,?,?,?,40,55,5,?,?,NS_Comment_ALB
8907,TSH3UL,3,?,?,12.00001,18,Year,.51,4.94,5,?,?,NS_Comment_TSH3UL_12_18
8908,TBIL,?,?,?,?,?,?,5,21,5,?,?,NS_Comment_TBIL
8909,TSH3UL,4,?,?,18.00001,999,Year,.55,4.78,5,?,?,NS_Comment_TSH3UL_18_99
8910,DBil,?,?,?,?,?,?,0,5,5,?,?,NS_Comment_DBIL
8911,FT3,?,?,?,?,?,?,3.5,6.5,5,?,?,NS_Comment_FT3
8912,TBA,?,?,?,?,?,?,0,9.67,5,?,?,NS_Comment_TBA
8913,FT4,?,?,?,?,?,?,11.5,22.7,5,?,?,NS_Comment_FT4
8914,K,?,?,?,?,?,?,3.5,5.3,5,?,?,NS_Comment_K
8915,T3,?,?,?,?,?,?,.92,2.79,5,?,?,NS_Comment_T3
8916,Cl,?,?,?,?,?,?,99,110,5,?,?,NS_Comment_Cl
8917,Na,?,?,?,?,?,?,137,147,5,?,?,NS_Comment_Na
8918,T4,?,?,?,?,?,?,55.47,161.25,5,?,?,NS_Comment_T4
8919,Ca,?,?,?,?,?,?,2.11,2.52,5,?,?,NS_Comment_Ca
8920,Mg,?,?,?,?,?,?,.75,1.02,5,?,?,NS_Comment_Mg
8921,PHOS,?,?,?,?,?,?,.85,1.51,5,?,?,NS_Comment_PHOS
8922,BUN,2,Male,?,20.00001,60,Year,3.1,8,5,?,?,NS_Comment_BUN_20_59_M
8923,BUN,3,Male,?,60.00001,80,Year,3.6,9.5,5,?,?,NS_Comment_BUN_60_79_M
8924,BUN,6,Female,?,20.00001,60,Year,2.6,7.5,5,?,?,NS_Comment_BUN_20_59_F
