Name,InternalLanguage,AutoStart,SeqNo,Description,Host,Port,TimeOut,Server.Name,ExternalHost,ExternalPort,ExternalTimeOut,Driver,DriverVersion,IsBetaDriverVersion,SpecificOptions,ProcessId,LogVerbosity,LogFileRefresh,LogFileRefreshUnit,LogFileKeep,LogFileKeepUnit,LogFileMaxSize,LogFileRefrshOnMaxSize,RestartFailures,~Options
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 15.0.3
%% Table: gp_Translator
%% Exported on: 09/30/17 at 12:08:22
%% Exported by: SiemensService
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Advia2400_1_Translator,URL,yes,?,Advia2400_1_Translator,192.168.1.137,49381,20,Advia2400_Service_1_2,192.168.1.55,3001,10,advc,4.2.0,no,-a -c,4692,Medium,1,Day,21,Day,10,yes,0,""
Advia2400_2_Translator,URL,yes,?,Advia2400_2_Translator,192.168.1.137,49393,20,Advia2400_Service_1_2,192.168.1.55,3002,10,advc,4.2.0,no,-a -c,768,Medium,1,Day,21,Day,10,yes,0,""
CentaurXP_1_Translator,URL,yes,?,CentaurXP_1_Translator,192.168.1.137,49399,20,CentaurXP_Service_1_2,192.168.1.55,3003,10,cent,1.9.0,no,-q -c -p 1,3528,Medium,1,Day,21,Day,10,yes,0,""
Auto_Receive,XML,yes,?,?,192.168.1.137,49410,10,ServerAuto,?,?,10,auto,1.3.0,no,-s 9002,4852,Medium,1,Day,21,Day,10,yes,0,?
Auto_Transmit,XML,yes,?,?,192.168.1.137,49418,10,ServerAuto,?,?,10,auto,1.3.0,no,-s 9001,4976,Medium,1,Day,21,Day,10,yes,0,?
CentaurXP_2_Translator,URL,yes,?,CentaurXP_2_Translator,192.168.1.137,49436,20,CentaurXP_Service_1_2,192.168.1.55,3004,10,cent,1.9.0,no,-q -c -p 1,4724,Medium,1,Day,21,Day,10,yes,0,""
LIS_IN_Translator,URL,yes,?,LIS_IN_Translator,192.168.1.137,49442,115,LIS_Service,?,?,10,asts,4.4.2,no,-s 7777,3696,Medium,1,Day,21,Day,10,yes,0,""
LIS_OUT_Translator,URL,yes,?,LIS_OUT_Translator,192.168.1.137,49450,115,LIS_Service_2,?,?,10,asts,4.4.2,no,-s 9999,3768,Medium,1,Day,21,Day,10,yes,0,""
CentaurXP_LIS_Translator,URL,yes,?,CentaurXP_LIS_Translator,192.168.1.137,49453,20,CentaurXP_Service_3_4,192.168.3.2,8181,10,cent,1.9.0,no,-q -c -p 1,1620,Medium,1,Day,21,Day,10,yes,0,""
Advia2400_test_Translator,URL,yes,?,Advia2400_2_Translator,192.168.1.137,49493,20,Advia2400_Service_1_2,127.0.0.1,9005,10,advc,4.2.0,no,-a,5416,Medium,1,Day,21,Day,10,yes,0,""
